trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,1,-6.661248400376663,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6524635522279004}",30,14,-8.110405066495131,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.6479122554853506}",30,0,-38.06632694836817,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.6433927065729562}",35,0,-108.06547344143064,"{0: 26, 1: 3, 2: 3, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.6389046840319162}",20,0,-71.08332338678616,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.6344479679482282}",25,5,-82.59715232993045,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",1
66,False,"{'a': 0.5, 'e': 0.6300223399419123}",20,0,-67.87785961299083,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.6256275831563107}",30,6,-85.22827300318896,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.6212634822474616}",20,0,-89.19948998931072,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.6169298233735474}",20,8,-61.68823572293286,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,0,-140.3920305137545,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
71,False,"{'a': 0.5, 'e': 0.6083529838111763}",25,0,-114.42052800096378,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.6041093828558647}",20,0,-24.79424029175544,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.5998953833811855}",20,0,-80.38392403371098,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.5957107789003212}",25,0,19.165760588089135,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.5915553643668151}",25,0,-54.4567097000209,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.5874289361645234}",30,12,-10.796101590684172,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.5833312920976388}",20,3,-24.31772060624181,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.579262231380782}",20,0,-84.8787998773162,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.5752215546291638}",35,11,-40.15518361364168,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,5,-57.84017049210577,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.5672245624268841}",20,0,-49.14079546390622,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.5632678551220046}",25,8,-46.31323691567683,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.5593387480547268}",25,3,-60.524900277334524,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.5554370486980182}",20,0,-18.014219477160548,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.5515625658678298}",35,17,-1.4140686145226846,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5477151097137275}",30,0,-47.901597151371035,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.5438944917095899}",25,0,-102.39845324442419,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.5401005246443706}",30,0,-127.5174869621377,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.5363330226129241}",25,15,-88.51649437370064,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
90,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,0,-24.884745830759897,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.5288766765056825}",30,17,21.191077876294848,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5251874670674361}",30,0,-108.34818094452628,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.5215239919201575}",20,0,-56.90194991645322,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.5178860715528314}",20,10,-29.026229611250535,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.5142735277066319}",25,0,-116.4855310964885,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.5106861833661879}",20,0,-17.971114690498272,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.5071238627509086}",20,11,-19.382554454245646,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
